episode_id,show_title,season,episode,combined_score,sources_used
B99-S1E1,Brooklyn Nine-Nine,1,1,74.7,3
B99-S1E2,Brooklyn Nine-Nine,1,2,65.3,3
B99-S1E3,Brooklyn Nine-Nine,1,3,75.3,3
B99-S1E4,Brooklyn Nine-Nine,1,4,87.5,2
B99-S1E5,Brooklyn Nine-Nine,1,5,72.0,3
B99-S1E6,Brooklyn Nine-Nine,1,6,79.0,3
B99-S1E7,Brooklyn Nine-Nine,1,7,79.7,3
B99-S1E8,Brooklyn Nine-Nine,1,8,87.3,3
B99-S2E1,Brooklyn Nine-Nine,2,1,87.7,3
B99-S2E2,Brooklyn Nine-Nine,2,2,84.0,2
B99-S2E3,Brooklyn Nine-Nine,2,3,81.7,3
B99-S2E4,Brooklyn Nine-Nine,2,4,94.3,3
B99-S2E5,Brooklyn Nine-Nine,2,5,64.0,2
B99-S2E6,Brooklyn Nine-Nine,2,6,70.0,2
B99-S2E7,Brooklyn Nine-Nine,2,7,75.7,3
B99-S2E8,Brooklyn Nine-Nine,2,8,73.7,3
B99-S3E1,Brooklyn Nine-Nine,3,1,80.7,3
B99-S3E2,Brooklyn Nine-Nine,3,2,79.7,3
B99-S3E3,Brooklyn Nine-Nine,3,3,77.0,3
B99-S3E4,Brooklyn Nine-Nine,3,4,74.0,3
B99-S3E5,Brooklyn Nine-Nine,3,5,76.3,3
B99-S3E6,Brooklyn Nine-Nine,3,6,78.7,3
B99-S3E7,Brooklyn Nine-Nine,3,7,77.3,3
B99-S3E8,Brooklyn Nine-Nine,3,8,67.0,2
BRBA-S1E1,Breaking Bad,1,1,74.3,3
BRBA-S1E2,Breaking Bad,1,2,86.0,3
BRBA-S1E3,Breaking Bad,1,3,85.0,3
BRBA-S1E4,Breaking Bad,1,4,71.0,3
BRBA-S1E5,Breaking Bad,1,5,86.0,3
BRBA-S1E6,Breaking Bad,1,6,73.0,3
BRBA-S1E7,Breaking Bad,1,7,73.7,3
BRBA-S1E8,Breaking Bad,1,8,82.0,2
BRBA-S2E1,Breaking Bad,2,1,76.7,3
BRBA-S2E2,Breaking Bad,2,2,86.0,3
BRBA-S2E3,Breaking Bad,2,3,78.5,2
BRBA-S2E4,Breaking Bad,2,4,90.3,3
BRBA-S2E5,Breaking Bad,2,5,83.7,3
BRBA-S2E6,Breaking Bad,2,6,75.0,2
BRBA-S2E7,Breaking Bad,2,7,74.0,3
BRBA-S2E8,Breaking Bad,2,8,72.0,3
BRBA-S3E1,Breaking Bad,3,1,76.3,3
BRBA-S3E2,Breaking Bad,3,2,74.0,3
BRBA-S3E3,Breaking Bad,3,3,72.3,3
BRBA-S3E4,Breaking Bad,3,4,69.0,3
BRBA-S3E5,Breaking Bad,3,5,75.7,3
BRBA-S3E6,Breaking Bad,3,6,75.0,3
BRBA-S3E7,Breaking Bad,3,7,77.3,3
BRBA-S3E8,Breaking Bad,3,8,82.3,3
GOT-S1E1,Game of Thrones,1,1,76.3,3
GOT-S1E2,Game of Thrones,1,2,82.0,3
GOT-S1E3,Game of Thrones,1,3,72.7,3
GOT-S1E4,Game of Thrones,1,4,81.0,1
GOT-S1E5,Game of Thrones,1,5,67.0,3
GOT-S1E6,Game of Thrones,1,6,68.7,3
GOT-S1E7,Game of Thrones,1,7,74.3,3
GOT-S1E8,Game of Thrones,1,8,85.3,3
GOT-S2E1,Game of Thrones,2,1,67.0,2
GOT-S2E2,Game of Thrones,2,2,78.0,3
GOT-S2E3,Game of Thrones,2,3,92.7,3
GOT-S2E4,Game of Thrones,2,4,66.3,3
GOT-S2E5,Game of Thrones,2,5,88.7,3
GOT-S2E6,Game of Thrones,2,6,71.7,3
GOT-S2E7,Game of Thrones,2,7,78.5,2
GOT-S2E8,Game of Thrones,2,8,75.0,3
GOT-S3E1,Game of Thrones,3,1,74.0,3
GOT-S3E2,Game of Thrones,3,2,69.0,3
GOT-S3E3,Game of Thrones,3,3,75.0,3
GOT-S3E4,Game of Thrones,3,4,61.3,3
GOT-S3E5,Game of Thrones,3,5,81.3,3
GOT-S3E6,Game of Thrones,3,6,73.3,3
GOT-S3E7,Game of Thrones,3,7,79.0,3
