record_id,episode_id,show_title,season,episode,source,air_date,raw_score
REC00001,TBBT-S1E1,The Big Bang Theory,1,1,imdb,2019-11-07,8.1
REC00002,TBBT-S1E1,The Big Bang Theory,1,1,rotten_tomatoes,2019-11-07,83.0
REC00003,TBBT-S1E1,The Big Bang Theory,1,1,metacritic,2019-11-07,92.0
REC00004,TBBT-S1E2,The Big Bang Theory,1,2,imdb,2022-09-09,8.0
REC00005,TBBT-S1E2,The Big Bang Theory,1,2,rotten_tomatoes,2022-09-09,66.0
REC00006,TBBT-S1E2,The Big Bang Theory,1,2,metacritic,2022-09-09,72.0
REC00007,TBBT-S1E3,The Big Bang Theory,1,3,imdb,2022-09-09,9.4
REC00008,TBBT-S1E3,The Big Bang Theory,1,3,rotten_tomatoes,2022-09-09,94.0
REC00009,TBBT-S1E3,The Big Bang Theory,1,3,metacritic,2022-09-09,61.0
REC00010,TBBT-S1E4,The Big Bang Theory,1,4,imdb,2021-02-26,6.3
REC00011,TBBT-S1E4,The Big Bang Theory,1,4,rotten_tomatoes,2021-02-26,59.0
REC00012,TBBT-S1E4,The Big Bang Theory,1,4,metacritic,2021-02-26,56.0
REC00013,TBBT-S1E5,The Big Bang Theory,1,5,imdb,2023-05-17,76.0
REC00014,TBBT-S1E5,The Big Bang Theory,1,5,rotten_tomatoes,2023-05-17,61.0
REC00015,TBBT-S1E5,The Big Bang Theory,1,5,metacritic,2023-05-17,92.0
REC00016,TBBT-S1E6,The Big Bang Theory,1,6,imdb,2020-06-03,8.3
REC00017,TBBT-S1E6,The Big Bang Theory,1,6,rotten_tomatoes,2020-06-03,150
REC00018,TBBT-S1E6,The Big Bang Theory,1,6,metacritic,2020-06-03,78.0
REC00019,TBBT-S1E7,The Big Bang Theory,1,7,imdb,2023-04-29,7.1
REC00020,TBBT-S1E7,The Big Bang Theory,1,7,rotten_tomatoes,2023-04-29,76.0
REC00021,TBBT-S1E7,The Big Bang Theory,1,7,metacritic,2023-04-29,64.0
REC00022,TBBT-S1E8,The Big Bang Theory,1,8,imdb,2023-10-01,6.6
REC00023,TBBT-S1E8,The Big Bang Theory,1,8,rotten_tomatoes,2023-10-01,63.0
REC00024,TBBT-S1E8,The Big Bang Theory,1,8,metacritic,2023-10-01,
REC00025,TBBT-S2E1,The Big Bang Theory,2,1,imdb,2020-01-22,8.5
REC00026,TBBT-S2E1,The Big Bang Theory,2,1,rotten_tomatoes,2020-01-22,79.0
REC00027,TBBT-S2E1,The Big Bang Theory,2,1,metacritic,2020-01-22,57.0
REC00028,TBBT-S2E2,The Big Bang Theory,2,2,imdb,2023-08-31,8.5
REC00029,TBBT-S2E2,Big Bang Theory,2,2,rotten_tomatoes,2023-08-31,93.0
REC00030,TBBT-S2E2,The Big Bang Theory,2,2,metacritic,2023-08-31,88.0
REC00031,TBBT-S2E3,The Big Bang Theory,2,3,imdb,2023-12-01,8.8
REC00032,TBBT-S2E3,The Big Bang Theory,2,3,rotten_tomatoes,2023-12-01,55.0
