show_title,season,season_score,episodes_scored
Breaking Bad,1,78.9,8
Breaking Bad,2,79.5,8
Breaking Bad,3,75.2,8
Brooklyn Nine-Nine,1,77.6,8
Brooklyn Nine-Nine,2,78.9,8
Brooklyn Nine-Nine,3,76.3,8
Game of Thrones,1,75.9,8
Game of Thrones,2,77.2,8
Game of Thrones,3,73.3,8
Parks and Recreation,1,73.1,8
Parks and Recreation,2,73.4,8
Parks and Recreation,3,77.5,8
The Big Bang Theory,1,74.0,8
The Big Bang Theory,2,76.7,8
The Big Bang Theory,3,77.2,8
The Office,1,82.1,8
The Office,2,77.5,8
The Office,3,76.4,8
