show_id,canonical_title,alias
TBBT,The Big Bang Theory,The Big Bang Theory
TBBT,The Big Bang Theory,Big Bang Theory
TBBT,The Big Bang Theory,the big bang theory
TBBT,The Big Bang Theory,TBBT
B99,Brooklyn Nine-Nine,Brooklyn Nine-Nine
B99,Brooklyn Nine-Nine,Brooklyn 99
B99,Brooklyn Nine-Nine,brooklyn nine-nine
B99,Brooklyn Nine-Nine,Brooklyn Nine Nine
GOT,Game of Thrones,Game of Thrones
OFC,The Office,The Office
BRBA,Breaking Bad,Breaking Bad
PARKS,Parks and Recreation,Parks and Recreation
